year	tipologia	fondo	segnatura	holder	ark	container
1821	Matrimoni	Stato civile della restaurazione	17580	Catania	an_ua73113	
1821	Morti	Stato civile della restaurazione	17620	Catania	an_ua73156	
1821	Nati	Stato civile della restaurazione	17496	Catania	an_ua73214	
1822	Matrimoni	Stato civile della restaurazione	17581	Catania	an_ua73114	
1822	Morti	Stato civile della restaurazione	17621	Catania	an_ua73157	
1822	Nati	Stato civile della restaurazione	17497	Catania	an_ua73215	
1823	Matrimoni	Stato civile della restaurazione	17582	Catania	an_ua73115	
1823	Morti	Stato civile della restaurazione	17622	Catania	an_ua73158	
1823	Nati	Stato civile della restaurazione	17498	Catania	an_ua73216	
1824	Matrimoni	Stato civile della restaurazione	17583	Catania	an_ua73116	
1824	Morti	Stato civile della restaurazione	17623	Catania	an_ua73159	
1824	Nati	Stato civile della restaurazione	17499	Catania	an_ua73217	
1825	Matrimoni	Stato civile della restaurazione	17584	Catania	an_ua73117	
1825	Morti	Stato civile della restaurazione	17624	Catania	an_ua73160	
1825	Nati	Stato civile della restaurazione	17500	Catania	an_ua73218	
1826	Matrimoni	Stato civile della restaurazione	17585	Catania	an_ua73118	
1826	Morti	Stato civile della restaurazione	17625	Catania	an_ua73161	
1826	Nati	Stato civile della restaurazione	17501	Catania	an_ua73219	
1827	Matrimoni	Stato civile della restaurazione	17586	Catania	an_ua73119	
1827	Morti	Stato civile della restaurazione	17626	Catania	an_ua73162	
1827	Nati	Stato civile della restaurazione	17502	Catania	an_ua73220	
1828	Matrimoni	Stato civile della restaurazione	17587	Catania	an_ua73120	
1828	Morti	Stato civile della restaurazione	17627	Catania	an_ua73163	
1828	Nati	Stato civile della restaurazione	17503	Catania	an_ua73221	
1829	Matrimoni	Stato civile della restaurazione	17588	Catania	an_ua73121	
1829	Morti	Stato civile della restaurazione	17628	Catania	an_ua73164	
1829	Nati	Stato civile della restaurazione	17504	Catania	an_ua73222	
1830	Matrimoni	Stato civile della restaurazione	17589	Catania	an_ua73122	
1830	Morti	Stato civile della restaurazione	17629	Catania	an_ua73165	
1830	Nati	Stato civile della restaurazione	17505	Catania	an_ua73223	
1831	Matrimoni	Stato civile della restaurazione	17590	Catania	an_ua73123	
1831	Morti	Stato civile della restaurazione	17630	Catania	an_ua73166	
1831	Nati	Stato civile della restaurazione	17506	Catania	an_ua73224	
1832	Matrimoni	Stato civile della restaurazione	17591	Catania	an_ua73124	
1832	Morti	Stato civile della restaurazione	17631	Catania	an_ua73167	
1832	Nati	Stato civile della restaurazione	17507	Catania	an_ua73225	
1833	Matrimoni	Stato civile della restaurazione	17592	Catania	an_ua73125	
1833	Morti	Stato civile della restaurazione	17632	Catania	an_ua73168	
1833	Nati	Stato civile della restaurazione	17508	Catania	an_ua73226	
1834	Matrimoni	Stato civile della restaurazione	17593	Catania	an_ua73126	
1834	Morti	Stato civile della restaurazione	17633	Catania	an_ua73169	
1834	Nati	Stato civile della restaurazione	17509	Catania	an_ua73227	
1835	Matrimoni	Stato civile della restaurazione	17594	Catania	an_ua73127	
1835	Morti	Stato civile della restaurazione	17634	Catania	an_ua73170	
1835	Nati	Stato civile della restaurazione	17510	Catania	an_ua73228	
1836	Matrimoni	Stato civile della restaurazione	17595	Catania	an_ua73128	
1836	Morti	Stato civile della restaurazione	17635	Catania	an_ua73171	
1836	Nati	Stato civile della restaurazione	17511	Catania	an_ua73229	
1837	Matrimoni	Stato civile della restaurazione	17596	Catania	an_ua73129	
1837	Morti	Stato civile della restaurazione	17636	Catania	an_ua73172	
1837	Nati	Stato civile della restaurazione	17512	Catania	an_ua73230	
1838	Matrimoni	Stato civile della restaurazione	17597	Catania	an_ua73130	
1838	Morti	Stato civile della restaurazione	17637	Catania	an_ua73173	
1838	Nati	Stato civile della restaurazione	17513	Catania	an_ua73231	
1839	Matrimoni	Stato civile della restaurazione	17598	Catania	an_ua73131	
1839	Morti	Stato civile della restaurazione	17638	Catania	an_ua73174	
1839	Nati	Stato civile della restaurazione	17514	Catania	an_ua73232	
1840	Matrimoni	Stato civile della restaurazione	17599	Catania	an_ua73132	
1840	Morti	Stato civile della restaurazione	17639	Catania	an_ua73175	
1840	Nati	Stato civile della restaurazione	17515	Catania	an_ua73233	w99mVa6
