group	source	what	usedFor	seen
The family tree	Mazza Family Tree, MyHeritage	Exported 9 September 2026 from the Defranceski family site. 614 individuals, 212 families, 133 photographs. Contributed by Michael Mazza and relatives.	The spine of this archive, and the thing every other source is being used to test.	tree
Italian civil registers, read in the original	Antenati — Scilla, Reggio Calabria	Stato civile napoleonico 1809-1815, restaurazione 1816-1865, italiano 1866-1943. 327 volumes listed here.	The Arena spine from Rocco back to FILIPPO ARENA and SANTA UNGARO in the 1720s; the Arlotta, the Costa, the Donato and the Polistena.	act
Italian civil registers, read in the original	Antenati — Scilla, Matrimoni processetti	Twenty-two volumes, 1810-1865. Each bundle holds the BIRTH EXTRACTS of both spouses and the DEATH ACTS of dead parents, copied out of the parish books.	Filippo Arena's baptism of 25 March 1793, Domenica Costa's of 16 June 1787, and Giovanni de Costa's death of 29 March 1790 -- the oldest dated event in this archive.	act
Italian civil registers, read in the original	Antenati — Piedimonte Etneo, Catania	457 registers, 1820-1893, plus nine volumes of Riveli di anime e di terre from 1714 and 1747-1752.	The Mazza spine to MARIANO MAZZA and MARIA CATALANO, born about 1809; four more children for Rosario and Leonarda; and the absence of any Mazza in the town's 1747 household census.	act
Italian civil registers, read in the original	Antenati — Briatico, Zambrone, Pizzo, Potenzoni	The Calabrian side. Briatico has 555 registers of which this archive has listed 80.	The Prostamo to 1697, the Ventrice, the Cichello and the Melluso -- and the 1849 marriage bundle that proved three generations at once.	act
Italian civil registers, read in the original	Antenati — the name index	Some comuni have their acts indexed BY NAME with parents and spouse: Scilla deaths 1911-1943, Pizzo births 1868-1903, Catania deaths 1911 onward.	One query replaces a volume sweep where it exists. Five of the eight comuni this family touches are not indexed at all.	act
Australian records, read in the original	National Archives of Australia — RecordSearch	Internee dossiers, aliens registration, naturalisation, immigration correspondence. The item TITLE carries the particulars even when nothing is digitised.	Three men interned in the Second World War; Maria Nicotra's arrival at Sydney on 20 April 1962; the ships behind five family crossings.	act
Australian records, read in the original	Queensland Registry of Births, Deaths and Marriages — historical index	Births 1829-1926, marriages 1829-1951, deaths 1829-1996. The index carries the MOTHER and PARENT columns.	Twenty-eight registrations, including the one that names John Nicotra and Venera Cassaneti -- and the sweep that showed «Cassaneti» appears exactly once in the whole index.	index
Australian records, read in the original	Brisbane Catholic Cemeteries — Nudgee	The interment register, searchable by name, with plot numbers.	Thirteen burials, several of them adjacent, and the married names that identified four women the tree had lost.	index
Indexes cited by the family tree, not seen here	New York Passenger Lists, 1820-1957		The 1906 and 1913 arrivals of the Melluso, Anile and Arena.	index
Indexes cited by the family tree, not seen here	New York, New York -- Birth, Marriage and Death indexes, 1862-1965	Six separate index series.	Maria Rosa Melluso's New York birth, 14 October 1907; the Anile marriage of 21 December 1907 at Manhattan; and four Arena children born at Manhattan 1896-1902.	index
Indexes cited by the family tree, not seen here	United States Federal Census, 1900 - 1920 - 1930 - 1940 - 1950		The American households of the first wave.	index
Indexes cited by the family tree, not seen here	U.S. World War II Draft Registration Cards, 1942; Army Enlistment Records, 1938-1946		The Polistena servicemen buried at Arneytown.	index
Indexes cited by the family tree, not seen here	Social Security Death Index; U.S. Public Records Index; Naturalization Records Indexes		American deaths and naturalisations.	index
Indexes cited by the family tree, not seen here	New Orleans, Louisiana Passenger Lists, 1813-1963		Michele Donato, 11 March 1908, out of Palermo.	index
Indexes cited by the family tree, not seen here	Florida Arriving and Departing Passenger Lists, 1898-1963		Francesco Melluso, Miami, 18 June 1961.	index
Indexes cited by the family tree, not seen here	Australia, Death Index, 1787-1985		Queensland deaths.	index
Indexes cited by the family tree, not seen here	Australia Cemetery Index, 1808-2007; Find a Grave Index		The Nudgee burials. NOTE: Find a Grave will index one person at two cemeteries when the names resemble each other.	index
Indexes cited by the family tree, not seen here	Australia, Electoral Rolls, 1903-1980		Addresses and occupations after arrival.	index
Indexes cited by the family tree, not seen here	Fremantle, Western Australia, Passenger Lists, 1897-1963		The 1925, 1949, 1950, 1951 and 1957 arrivals -- several of which the NAA index has since corrected.	index
Indexes cited by the family tree, not seen here	Italy, Find a Grave Index		Briatico burials.	index
Indexes cited by the family tree, not seen here	«I Melluso»	A relative's compiled research, cited in the tree without a reference.	Parts of the Melluso descent at Briatico. UNVERIFIED, and named here so that nobody mistakes it for a record.	lore
Tried and found wanting	FindMyPast	A six-day trial, swept systematically rather than browsed.	Its Italian births, marriages and deaths sets DO NOT COVER SCILLA -- zero Polistena in all three. Recorded in full, negatives included, so that nobody pays to discover it again.	index
Tried and found wanting	Trove	The National Library of Australia's newspaper archive.	A WALL, not a nil: its own vendor bundle throws on a storage API this browser lacks. A free NLA API key would settle it.	wall
Tried and found wanting	The National Archives, Kew -- Discovery API	Free JSON, no key.	Swept for this family and it is not there. The empty-202 throttle reads as zero results, which is how a wall gets mistaken for a negative.	wall
